,User_Name,Tags,Location,Datetime,Like_Count
48,dongbaek_kitchen,"['#제주도', '#한림맛집', '#한림맛집추천', '#제주신상맛집', '#제주숨은맛집', '#애월맛집', '#제주맛집', '#제주도맛집', '#협재맛집', '#명월국민학교', '#제주도민맛집', '#제주파스타맛집', '#제주존맛', '#제주핫플', '#제주테이크아웃', '#jmt', '#곽지맛집', '#제주맛집추천', '#동문시장', '#중문맛집', '#더럭분교맛집', '#오설록맛집', '#새별오름', '#동백', '#동백꽃필무렵', '#여행에미치다', '#제주바다', '#제주여행', '#먹스타그램', '#제주']",동백키친,2019년 12월 27일,4
49,vikikim8318,"['#에어그라운드', '#인태기극복중']","Namwon Seogwipo Jeju,South korea",2019년 12월 27일,28
50,kusun_2,[],한라산 어딘가,2019년 12월 27일,49
51,lafansia_nail,"['#제주', '#제주여행', '#협재네일', '#캐릭터네일', '#라팡시아', '#라팡시아네일', '#젤네일', '#제주네일', '#제주맘스타그램', '#제주네일잘하는집', '#제주속눈썹연장', '#제주네일아트', '#여름네일', '#제주라팡시아네일', '#캐릭터네일', '#이달의네일', '#한림네일', '#제주한림네일', '#한림속눈썹연장', '#nail', '#선팔', '#웨딩네일', '#맞팔', '#제주영어마을', '#펭수', '#펭수네일']",라팡시아 뷰티샵,2019년 12월 27일,8
52,studio_kuna,['#스튜디오쿠나'],스튜디오 쿠나,2019년 12월 27일,16
53,dahye__,[],Jeju-do,2019년 12월 27일,36
54,e_yu_ri,[],Serein Café&Lounge,2019년 12월 26일,120
55,weareinwonderland,"['#사진', '#사진에미치다', '#여행에미치다', '#색감', '#색감미술관', '#색감깡패', '#색감보정', '#제주도', '#제주', '#협재해수욕장', '#협재', '#월간Rx', '#rx100m5a', '#사진보정', '#jeju', '#koreatrip', '#koreatravel']","Jeju Island, South Korea - 제주도",2019년 12월 27일,18
56,my_ein,"['#쇼핑지옥', '#1일1기념품', '#제주여행', '#제주', '#제주도', '#제주여행', '#제주도여행', '#12월의제주', '#겨울여행', '#아가랑여행', '#엄마랑', '#친구랑', '#아가랑', '#여행', '#제주여행코스', '#여행룩', '#우정스타그램', '#딸스타그램', '#육아스타그램', '#육아일상', '#육아기록', '#데일리룩', '#데일리']",제주 협재 해수욕장,2019년 12월 27일,7
57,su.been,"['#제주카페', '#더콘테나', '#제주도스냅', '#제주도여행', '#제주도맛집', '#제주핫플', '#제주카페추천', '#제주스타그램', '#제주', '#제주도', '#옷스타그램', '#일상', '#데일리', '#소통', '#좋아요', '#좋반', '#맞팔', '#선팔', '#선팔하면맞팔', '#선팔맞팔', '#오오티디', '#f4f', '#OOTD']",Jeju,2019년 12월 27일,15
